Unit,Unit Name,Topic,Molecule,Category,Source,Identifier,Fetch URL,View Page,Render Tier,Priority,ID Confidence,Teaching Note,CID,Has 3D,Stereo
1,Chemistry of Life,Carbohydrates,N-Acetylglucosamine,Carbohydrate,PubChem,N-acetylglucosamine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/N-acetylglucosamine/record/SDF/?record_type=3d,PubChem: N-acetylglucosamine,Ball-and-stick,Extended,Verified · C8H15NO6,Chitin and peptidoglycan monomer.,1738118,yes,pinned (4)
1,Chemistry of Life,Lipids,Palmitic acid,Lipid,PubChem,palmitic acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/palmitic%20acid/record/SDF/?record_type=3d,PubChem: palmitic acid,Ball-and-stick,Core,Verified · C16H32O2,"Saturated - straight tail, packs tightly, solid.",985,yes,pinned (achiral)
1,Chemistry of Life,Lipids,Stearic acid,Lipid,PubChem,stearic acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/stearic%20acid/record/SDF/?record_type=3d,PubChem: stearic acid,Ball-and-stick,Extended,Verified (no 3D) · C18H36O2,Longer saturated chain.,5281,no,pinned (achiral)
1,Chemistry of Life,Lipids,Oleic acid,Lipid,PubChem,oleic acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/oleic%20acid/record/SDF/?record_type=3d,PubChem: oleic acid,Ball-and-stick,Core,Verified · C18H34O2,cis double bond puts a kink in the tail - liquid.,445639,yes,pinned (achiral)
1,Chemistry of Life,Lipids,Elaidic acid,Lipid,PubChem,elaidic acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/elaidic%20acid/record/SDF/?record_type=3d,PubChem: elaidic acid,Ball-and-stick,Standard,Verified · C18H34O2,trans fat - straight despite the double bond.,637517,yes,pinned (achiral)
1,Chemistry of Life,Lipids,Linoleic acid,Lipid,PubChem,linoleic acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/linoleic%20acid/record/SDF/?record_type=3d,PubChem: linoleic acid,Ball-and-stick,Extended,Verified · C18H32O2,Polyunsaturated; two kinks.,5280450,yes,pinned (achiral)
1,Chemistry of Life,Lipids,Glycerol,Lipid,PubChem,glycerol,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/glycerol/record/SDF/?record_type=3d,PubChem: glycerol,Ball-and-stick,Core,Verified · C3H8O3,Three-carbon backbone with 3 -OH groups.,753,yes,pinned (achiral)
1,Chemistry of Life,Lipids,Triglyceride (tristearin),Lipid,PubChem,tristearin,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/tristearin/record/SDF/?record_type=3d,PubChem: tristearin,Ball-and-stick,Core,Verified (no 3D) · C57H110O6,Three ester bonds from three dehydration reactions.,11146,no,pinned (achiral)
1,Chemistry of Life,Lipids,Phospholipid (POPC),Lipid,PubChem,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine/record/SDF/?record_type=3d,PubChem: 1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,Ball-and-stick,Core,Ambiguous,"Amphipathic: polar head, one saturated + one kinked tail.",,,
1,Chemistry of Life,Lipids,Phospholipid bilayer patch,Lipid,Model,"~64 POPC, 2 leaflets, water",-- build in app --,-- build in app --,Built in-app,Core,n/a,Self-assembly from amphipathy. Reuse in Unit 2.,,,
1,Chemistry of Life,Lipids,Cholesterol,Lipid,PubChem,cholesterol,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/cholesterol/record/SDF/?record_type=3d,PubChem: cholesterol,Ball-and-stick,Core,Verified · C27H46O,Four fused rings; membrane fluidity buffer.,5997,yes,pinned (8)
1,Chemistry of Life,Lipids,Testosterone,Lipid,PubChem,testosterone,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/testosterone/record/SDF/?record_type=3d,PubChem: testosterone,Ball-and-stick,Standard,Verified · C19H28O2,Steroid; contrast tiny R-group change with estradiol.,6013,yes,pinned (6)
1,Chemistry of Life,Lipids,Estradiol,Lipid,PubChem,estradiol,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/estradiol/record/SDF/?record_type=3d,PubChem: estradiol,Ball-and-stick,Standard,Verified · C18H24O2,"Aromatic A ring - small change, different receptor.",5757,yes,pinned (5)
1,Chemistry of Life,Lipids,Cortisol,Lipid,PubChem,cortisol,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/cortisol/record/SDF/?record_type=3d,PubChem: cortisol,Ball-and-stick,Extended,Verified · C21H30O5,Steroid signaling; crosses the membrane.,5754,yes,pinned (7)
1,Chemistry of Life,Lipids,Progesterone,Lipid,PubChem,progesterone,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/progesterone/record/SDF/?record_type=3d,PubChem: progesterone,Ball-and-stick,Extended,Verified · C21H30O2,Steroid hormone family member.,5994,yes,pinned (6)
1,Chemistry of Life,Proteins,Glycine,Amino acid,PubChem,glycine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/glycine/record/SDF/?record_type=3d,PubChem: glycine,Ball-and-stick,Core,Verified · C2H5NO2,Nonpolar. Simplest R-group (H); no chirality.,750,yes,pinned (achiral)
1,Chemistry of Life,Proteins,L-Alanine,Amino acid,PubChem,L-alanine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/L-alanine/record/SDF/?record_type=3d,PubChem: L-alanine,Ball-and-stick,Core,Verified · C3H7NO2,"Nonpolar, methyl R-group.",5950,yes,pinned (1)
1,Chemistry of Life,Proteins,L-Valine,Amino acid,PubChem,L-valine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/L-valine/record/SDF/?record_type=3d,PubChem: L-valine,Ball-and-stick,Core,Verified · C5H11NO2,Nonpolar. The residue that causes sickle cell.,6287,yes,pinned (1)
1,Chemistry of Life,Proteins,L-Leucine,Amino acid,PubChem,L-leucine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/L-leucine/record/SDF/?record_type=3d,PubChem: L-leucine,Ball-and-stick,Standard,Verified · C6H13NO2,"Nonpolar, branched.",6106,yes,pinned (1)
1,Chemistry of Life,Proteins,L-Isoleucine,Amino acid,PubChem,L-isoleucine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/L-isoleucine/record/SDF/?record_type=3d,PubChem: L-isoleucine,Ball-and-stick,Standard,Verified · C6H13NO2,"Nonpolar, branched isomer of leucine.",6306,yes,pinned (2)
1,Chemistry of Life,Proteins,L-Proline,Amino acid,PubChem,L-proline,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/L-proline/record/SDF/?record_type=3d,PubChem: L-proline,Ball-and-stick,Core,Verified · C5H9NO2,Ring locks the backbone - helix breaker.,145742,yes,pinned (1)
1,Chemistry of Life,Proteins,L-Phenylalanine,Amino acid,PubChem,L-phenylalanine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/L-phenylalanine/record/SDF/?record_type=3d,PubChem: L-phenylalanine,Ball-and-stick,Standard,Verified · C9H11NO2,Nonpolar aromatic; PKU link.,6140,yes,pinned (1)
1,Chemistry of Life,Proteins,L-Tryptophan,Amino acid,PubChem,L-tryptophan,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/L-tryptophan/record/SDF/?record_type=3d,PubChem: L-tryptophan,Ball-and-stick,Standard,Verified · C11H12N2O2,Largest R-group; trp operon link.,6305,yes,pinned (1)
1,Chemistry of Life,Proteins,L-Methionine,Amino acid,PubChem,L-methionine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/L-methionine/record/SDF/?record_type=3d,PubChem: L-methionine,Ball-and-stick,Core,Verified · C5H11NO2S,Start codon amino acid.,6137,yes,pinned (1)
1,Chemistry of Life,Proteins,L-Serine,Amino acid,PubChem,L-serine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/L-serine/record/SDF/?record_type=3d,PubChem: L-serine,Ball-and-stick,Standard,Verified · C3H7NO3,Polar; phosphorylation site.,5951,yes,pinned (1)
1,Chemistry of Life,Proteins,L-Threonine,Amino acid,PubChem,L-threonine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/L-threonine/record/SDF/?record_type=3d,PubChem: L-threonine,Ball-and-stick,Standard,Verified · C4H9NO3,Polar; phosphorylation site.,6288,yes,pinned (2)
1,Chemistry of Life,Proteins,L-Cysteine,Amino acid,PubChem,L-cysteine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/L-cysteine/record/SDF/?record_type=3d,PubChem: L-cysteine,Ball-and-stick,Core,Verified · C3H7NO2S,Thiol - forms disulfide bridges.,5862,yes,pinned (1)
1,Chemistry of Life,Proteins,L-Cystine (disulfide),Amino acid,PubChem,L-cystine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/L-cystine/record/SDF/?record_type=3d,PubChem: L-cystine,Ball-and-stick,Core,Verified · C6H12N2O4S2,Two cysteines bonded - tertiary structure.,67678,yes,pinned (2)
1,Chemistry of Life,Proteins,L-Tyrosine,Amino acid,PubChem,L-tyrosine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/L-tyrosine/record/SDF/?record_type=3d,PubChem: L-tyrosine,Ball-and-stick,Standard,Verified · C9H11NO3,Polar aromatic; kinase target.,6057,yes,pinned (1)
1,Chemistry of Life,Proteins,L-Asparagine,Amino acid,PubChem,L-asparagine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/L-asparagine/record/SDF/?record_type=3d,PubChem: L-asparagine,Ball-and-stick,Standard,Verified · C4H8N2O3,Polar amide.,6267,yes,pinned (1)
1,Chemistry of Life,Proteins,L-Glutamine,Amino acid,PubChem,L-glutamine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/L-glutamine/record/SDF/?record_type=3d,PubChem: L-glutamine,Ball-and-stick,Standard,Verified · C5H10N2O3,Polar amide.,5961,yes,pinned (1)
1,Chemistry of Life,Proteins,L-Aspartic acid,Amino acid,PubChem,L-aspartic acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/L-aspartic%20acid/record/SDF/?record_type=3d,PubChem: L-aspartic acid,Ball-and-stick,Standard,Verified · C4H7NO4,"Acidic, negative at pH 7.",5960,yes,pinned (1)
1,Chemistry of Life,Proteins,L-Glutamic acid,Amino acid,PubChem,L-glutamic acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/L-glutamic%20acid/record/SDF/?record_type=3d,PubChem: L-glutamic acid,Ball-and-stick,Core,Verified · C5H9NO4,Acidic. Residue 6 of normal beta-globin.,33032,yes,pinned (1)
1,Chemistry of Life,Proteins,L-Lysine,Amino acid,PubChem,L-lysine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/L-lysine/record/SDF/?record_type=3d,PubChem: L-lysine,Ball-and-stick,Core,Verified · C6H14N2O2,Basic; histone tail acetylation target.,5962,yes,pinned (1)
1,Chemistry of Life,Proteins,L-Arginine,Amino acid,PubChem,L-arginine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/L-arginine/record/SDF/?record_type=3d,PubChem: L-arginine,Ball-and-stick,Standard,Verified · C6H14N4O2,"Basic, guanidinium group; binds DNA backbone.",6322,yes,pinned (1)
1,Chemistry of Life,Proteins,L-Histidine,Amino acid,PubChem,L-histidine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/L-histidine/record/SDF/?record_type=3d,PubChem: L-histidine,Ball-and-stick,Standard,Verified · C6H9N3O2,"Basic; pKa near 7, common in active sites.",6274,yes,pinned (1)
1,Chemistry of Life,Proteins,Dipeptide (peptide bond),Protein,Model,Gly-Ala + released water,-- build in app --,-- build in app --,Built in-app,Core,n/a,Dehydration synthesis; show the water leaving.,,,
1,Chemistry of Life,Proteins,Alpha helix,Protein,PDB,1LYZ,https://files.rcsb.org/download/1LYZ.pdb,RCSB 1LYZ,Cartoon,Core,High,Secondary structure. Highlight backbone H-bonds i to i+4.,,,
1,Chemistry of Life,Proteins,Beta-pleated sheet,Protein,PDB,1IGT,https://files.rcsb.org/download/1IGT.pdb,RCSB 1IGT,Cartoon,Core,High,Secondary structure; antiparallel strands in Ig domains.,,,
1,Chemistry of Life,Proteins,Lysozyme (folded),Protein,PDB,1LYZ,https://files.rcsb.org/download/1LYZ.pdb,RCSB 1LYZ,Cartoon,Core,High,All four levels of structure in one small protein.,,,
1,Chemistry of Life,Nucleic acids,Adenine,Nucleobase,PubChem,adenine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/adenine/record/SDF/?record_type=3d,PubChem: adenine,Ball-and-stick,Core,Verified · C5H5N5,Purine - two rings. Pairs with T/U via 2 H-bonds.,190,yes,pinned (achiral)
1,Chemistry of Life,Nucleic acids,Guanine,Nucleobase,PubChem,guanine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/guanine/record/SDF/?record_type=3d,PubChem: guanine,Ball-and-stick,Core,Verified · C5H5N5O,Purine. Pairs with C via 3 H-bonds.,135398634,yes,pinned (achiral)
1,Chemistry of Life,Nucleic acids,Cytosine,Nucleobase,PubChem,cytosine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/cytosine/record/SDF/?record_type=3d,PubChem: cytosine,Ball-and-stick,Core,Verified · C4H5N3O,Pyrimidine - one ring.,597,yes,pinned (achiral)
1,Chemistry of Life,Nucleic acids,Thymine,Nucleobase,PubChem,thymine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/thymine/record/SDF/?record_type=3d,PubChem: thymine,Ball-and-stick,Core,Verified · C5H6N2O2,"Pyrimidine, DNA only. Methyl group vs uracil.",1135,yes,pinned (achiral)
1,Chemistry of Life,Nucleic acids,Uracil,Nucleobase,PubChem,uracil,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/uracil/record/SDF/?record_type=3d,PubChem: uracil,Ball-and-stick,Core,Verified · C4H4N2O2,"Pyrimidine, RNA only.",1174,yes,pinned (achiral)
1,Chemistry of Life,Nucleic acids,Deoxyadenosine monophosphate,Nucleotide,PubChem,deoxyadenosine monophosphate,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/deoxyadenosine%20monophosphate/record/SDF/?record_type=3d,PubChem: deoxyadenosine monophosphate,Ball-and-stick,Core,Verified · C10H14N5O6P,Full nucleotide: phosphate + sugar + base.,12599,yes,pinned (3)
1,Chemistry of Life,Nucleic acids,B-DNA dodecamer,Nucleic acid,PDB,1BNA,https://files.rcsb.org/download/1BNA.pdb,RCSB 1BNA,Cartoon,Core,High,The classic Drew-Dickerson double helix. Major/minor grooves.,,,
1,Chemistry of Life,Nucleic acids,Z-DNA,Nucleic acid,PDB,2DCG,https://files.rcsb.org/download/2DCG.pdb,RCSB 2DCG,Cartoon,Extended,High,Left-handed alternative helix.,,,
1,Chemistry of Life,Nucleic acids,tRNA (phenylalanine),Nucleic acid,PDB,1EHZ,https://files.rcsb.org/download/1EHZ.pdb,RCSB 1EHZ,Cartoon,Core,High,Cloverleaf folds into L-shape; anticodon + acceptor stem.,,,
1,Chemistry of Life,Nucleic acids,RNA hairpin,Nucleic acid,Model,Stem-loop from sequence,-- build in app --,-- build in app --,Built in-app,Standard,n/a,Intramolecular base pairing - why RNA is not just linear.,,,
2,Cell Structure & Function,Membrane,Fluid mosaic bilayer,Membrane,Model,POPC bilayer + cholesterol + proteins,-- build in app --,-- build in app --,Built in-app,Core,n/a,Assemble from Unit 1 parts. Let students toggle components.,,,
2,Cell Structure & Function,Membrane,Cholesterol in bilayer,Membrane,Model,POPC + 20% cholesterol,-- build in app --,-- build in app --,Built in-app,Core,n/a,Fluidity buffer at high and low temperature.,,,
2,Cell Structure & Function,Membrane,Glycoprotein,Membrane,PDB,1IGY,https://files.rcsb.org/download/1IGY.pdb,RCSB 1IGY,Cartoon,Standard,High,Sugar chains as cell-surface ID tags.,,,
2,Cell Structure & Function,Transport,Aquaporin-1,Transport protein,PDB,1J4N,https://files.rcsb.org/download/1J4N.pdb,RCSB 1J4N,Cartoon,Core,Verified,Water channel; single-file water. Facilitated diffusion.,,,
2,Cell Structure & Function,Transport,KcsA potassium channel,Transport protein,PDB,1BL8,https://files.rcsb.org/download/1BL8.pdb,RCSB 1BL8,Cartoon,Core,High,Selectivity filter - how K+ passes but Na+ does not.,,,
2,Cell Structure & Function,Transport,Na+/K+ ATPase,Transport protein,PDB,3B8E,https://files.rcsb.org/download/3B8E.pdb,RCSB 3B8E,Cartoon,Core,High,"Active transport; 3 Na+ out, 2 K+ in, 1 ATP.",,,
2,Cell Structure & Function,Transport,GLUT1 glucose transporter,Transport protein,PDB,4PYP,https://files.rcsb.org/download/4PYP.pdb,RCSB 4PYP,Cartoon,Standard,High,Facilitated diffusion with conformational change.,,,
2,Cell Structure & Function,Transport,Connexin gap junction,Transport protein,PDB,2ZW3,https://files.rcsb.org/download/2ZW3.pdb,RCSB 2ZW3,Cartoon,Standard,High,Direct cytoplasmic connection between cells.,,,
2,Cell Structure & Function,Transport,Bacterial porin,Transport protein,PDB,2POR,https://files.rcsb.org/download/2POR.pdb,RCSB 2POR,Cartoon,Extended,High,Beta-barrel channel - contrast with alpha-helical channels.,,,
2,Cell Structure & Function,Transport,Voltage-gated sodium channel,Transport protein,PDB,5X0M,https://files.rcsb.org/download/5X0M.pdb,RCSB 5X0M,Cartoon,Extended,High,Gating; sets up Unit 4 signaling.,,,
2,Cell Structure & Function,Organelles,"Ribosome, 70S (bacterial)",Complex,PDB,4V5D,https://files.rcsb.org/download/4V5D.pdb,RCSB 4V5D,Surface/Complex,Core,High,"Two subunits, rRNA-dominated. Antibiotic target.",,,
2,Cell Structure & Function,Organelles,"Ribosome, 80S (eukaryotic)",Complex,PDB,4V6X,https://files.rcsb.org/download/4V6X.pdb,RCSB 4V6X,Surface/Complex,Standard,High,Compare size with the 70S.,,,
2,Cell Structure & Function,Organelles,Proteasome,Complex,PDB,1FNT,https://files.rcsb.org/download/1FNT.pdb,RCSB 1FNT,Surface/Complex,Standard,High,Protein degradation barrel; quality control.,,,
2,Cell Structure & Function,Organelles,GroEL/GroES chaperonin,Complex,PDB,1AON,https://files.rcsb.org/download/1AON.pdb,RCSB 1AON,Surface/Complex,Standard,High,Folding chamber - protein folding is assisted.,,,
2,Cell Structure & Function,Organelles,Nuclear pore complex,Complex,PDB,5A9Q,https://files.rcsb.org/download/5A9Q.pdb,RCSB 5A9Q,Surface/Complex,Extended,High,"Selective gateway; very large, use surface rendering.",,,
2,Cell Structure & Function,Cytoskeleton,Tubulin alpha-beta dimer,Structural protein,PDB,1TUB,https://files.rcsb.org/download/1TUB.pdb,RCSB 1TUB,Cartoon,Core,High,"Microtubule subunit; spindle, cilia, transport track.",,,
2,Cell Structure & Function,Cytoskeleton,G-actin monomer,Structural protein,PDB,1ATN,https://files.rcsb.org/download/1ATN.pdb,RCSB 1ATN,Cartoon,Core,High,Microfilament subunit; polymerize into F-actin.,,,
2,Cell Structure & Function,Cytoskeleton,Myosin motor domain,Motor protein,PDB,1B7T,https://files.rcsb.org/download/1B7T.pdb,RCSB 1B7T,Cartoon,Standard,High,ATP-driven conformational change - motion from chemistry.,,,
2,Cell Structure & Function,Cytoskeleton,Kinesin motor domain,Motor protein,PDB,1BG2,https://files.rcsb.org/download/1BG2.pdb,RCSB 1BG2,Cartoon,Standard,High,Walks cargo along microtubules.,,,
